男,,女,
古力查力度,游戏动画,博丽灵梦,
无界,,藤原妹红,
凯恩,,流星魔理沙,
,,,
钢弹,VS,Mery,
,,,
威斯克,,江风,
洛克人Zero,“Z”标记，正常登场,黑岩,动画
达奥斯,,爱莎,电影
Zodiac,,四糸乃,动画
,,,
隼人,VS,露娜姬木,
万磁王,电影,羽澄绘梨,无
藤虎,动画 ,琥珀,甩女仆装
阿斯拉,,米莉亚,“长发公主”
牙神,花牌切裂,楼座&夏娃,boss介绍界面蹦出夏娃
狮子王,,日野森梓,盘子乱飞
健次郎,动画，求水,雪菜,动画
隆,整个出场期间场景变暗+模糊,蕾蕾,锤子乱掉
龙肯,,奥莉叶,
豪鬼,直接关灯，消失后再出现,艾丽卡,
Johann,龙乱飞,拉姆蕾萨尔,xrd开场动画
,,,
GM&PP,6543,佣兵&隐者,立绘特殊入场
,,,
,,,
,,,
艾迪尔海德,游戏动画,神子,
大蛇,,魔理沙,
高尼茨,,阿求,找动画，没有直出
贾玲,Z字登场,,
,,,
,,夏拉荷特,锁链乱放，切开
空手健儿,战胜画面改造,薇丝,无限剑制
完美沙鲁,,巴蒂斯塔,游戏OP剪辑
,,,
托奇,,奈茵,游戏动画
足立透,动画,Hyper Justice MK2,屏幕被炮击，然后出现
The owner of Eden,找游戏过场，没有直出,妮妙,找找游戏动画，没有则不触发
德米特里,找游戏过场，没有就大火,大河,二期OP
晓,,久那妓,二选一
御名方守矢,找游戏过场，没有直出,五月,播放枯竭庭院，然后登场
李烈火,,白莲,白雪背景中隐现
,,忽那由EX,细数完登场先锋系BOSS以后出现
,,,
维吉尔,找游戏CG,魔神艾多娜,
亚历山大,动画,露易丝,
卡西乌斯,凤凰烈波,蕾蒂西亚,动画
,,菲拉诺尔,找找游戏资料，没有的话就直出了
蜘蛛侠,电影,拉普兰德,叙拉古PV
,,艾塞莉娅,动画+CG
斯坦&里昂,宿命OP,卡露拉&藤香,找找动画有没有，没有就直出
,,,
,,,
真零,Z字，原作出场,宇佐见堇子,怪谈珠子集齐，显示身影
Legend God Rugal V2,,蕾米莉亚,找找动画有没有，没有就海量蝙蝠
,,,
Destiny DIO,找一下天堂动画，然后时停切场,朱鹭宫神依,找找游戏作为boss登场有没有特殊动画吧，没有就只能时停
Headmaster,写字后出场,战乙女 Saki,
噩梦战人,,鸣雪,绘本
壬无月斩红郎,找侍魂开场，没有就一刀,Zenon EX,
毛利元就,LV欺诈式登场，找动画看下能不能接,凛音,找找同人图有没有合适的，没有就游戏OP算了
桐人,动画登场,绝剑,动画登场，找找有没有接战的
,,,
Asgore ver.S,“再见”，击碎“仁慈”后出现等级,水无月空,游戏CG，代码反转
Superman,找新52作品,Lolicard,阿鲁卡多动画，最后切换
比鲁斯,动画,十香,动画
,,,
男,,女,
伊格尼兹,游戏开场,纯狐,学一下某个组曲的史书动画
Sans,游戏过场,英格丽特,欺诈式登场，直接冲破隆的黑雾
魔神Zero,找找漫画混剪,死徒诺艾尔,大量CG台词闪现，语音开场，在代行者tag被击退时就有铺垫
,,Al Azif EX,找找N+游戏有没有过场，没有就找死灵之书了
